generation,score,sentence,color
0,0.5512860022576671,Text revamp.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5451809855330129,Text modify.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.537722899653465,Text change.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5352679656092296,Text renovate.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5325729697309688,Text overhaul.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5874497787315354,Text revamp this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5857359486728876,Text overhaul this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5756851612701621,Text revamp it.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5743955900756763,Modify text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
1,0.5675503400549833,Text renovate this.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5980844070594727,Modify this text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5959803417360675,Text overhaul this paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5952974165699526,Text revamp this ejea,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5920232735797272,Text revamp this sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
2,0.5917607137575079,Text revamp this elision),"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.599817068892112,Text overhaul this or paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5984183516245287,Text revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5983467663104802,Overhaul this paragraph.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5980843908062758,Modify this text.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
3,0.5980282044409382,Text in revamp this sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6092111636692039,Modify this text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6041287836962563,Text in revamp this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6037684297026074,Text wanna revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6033728869259766,Text into revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
4,0.6009728400814044,Text- revamp this virtuosic and sentence.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6101410914665756,Modify this text spoken more in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6092948823927151,Text revamp this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6092111632540343,Modify this text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6091497925722789,Modify this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
5,0.6089932181081824,Modify this text used spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6122806855610884,Modify please this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6117614683914181,Text revamp the this sentence convey.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6113482234457224,"Modify this auletes, and revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.6101410914665756,Modify this text spoken more in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
6,0.609638101267189,Modify the this text spoken more in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
7,0.6168252853342484,"Modify this auletes, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
7,0.6137749742675971,Modify this auletes and revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
7,0.6134984178291315,"Modify please this way, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
7,0.6129487688429249,"Modify this auletes, and revitalize in text spoken.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
7,0.6127533009939453,Modify please this revitalize text other spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
8,0.6188313597618424,"Modify please way this, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
8,0.6186870077051146,"Modify please this, way revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
8,0.6185068732253476,"Modify please this, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
8,0.618259448408704,"Modify please this as way, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
8,0.618039004029421,"Modify please, way this revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
9,0.6220939389719734,"Modify please, way i this revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
9,0.6214735435682133,"Modify please way if this, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
9,0.6212222720159493,Modify please way this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
9,0.6204791512172539,"Modify please, a way this revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
9,0.6199541855586492,Modify please way this bayt revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
10,0.6228778373961711,Modify please a way this revitalize text spoken in.,"(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
10,0.6223422657809654,"Modify please way if id this, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
10,0.6221907646453372,"Modify this please, way i this revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
10,0.6220939686860557,"Modify please, way i this revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
10,0.6218738133589374,"Modify please describe way if this, revitalize text spoken in.","(0.12333943191850538, 0.1841241113002542, 0.5808203126667933)"
0,0.5512860022576671,Text revamp.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
0,0.5451809968690275,Text modify.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
0,0.537722899653465,Text change.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
0,0.5352679750816985,Text renovate.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
0,0.5325729635615072,Text overhaul.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
1,0.587449777518526,Text revamp this.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
1,0.5857359341050388,Text overhaul this.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
1,0.5756851976090287,Text revamp it.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
1,0.5743955687854553,Modify text.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
1,0.5675503558290625,Text renovate this.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
2,0.6019539257041316,Text revamp this eremitic,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
2,0.5980843892552324,Modify this text.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
2,0.5965389189213729,Text revamp this oratory,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
2,0.5905321039618344,Text revamp this excerpt.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
2,0.5900315919853323,Text revamp this statement.,"(0.22499051128722003, 0.37102004782152, 0.16121269147237982)"
0,0.531752358397826,Rewrite.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
0,0.4730340755822561,Hi annotating a.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
0,0.4579137426324038,Revegetation.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
0,0.45191103354246054,Hi reimagines the.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
0,0.433317388177791,Condition.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
1,0.5664214990486202,Rewrite this.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
1,0.5459853961912302,Rewrite worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
1,0.5453134494829582,Rewrite an.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
1,0.542644834655035,Rewrite the.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
1,0.5411090844626399,Rewrite it.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
2,0.5808124151401713,Rewrite this clint,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
2,0.5731129245721619,Rewrite a worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
2,0.5701235528425306,Rewrite an worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
2,0.5695934580332179,Rewrite this ole.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
2,0.5694620901061423,Rewrite the thouet..,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
3,0.586538876961136,Rewrite an eminence worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
3,0.5808124170800774,Rewrite this clint,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
3,0.5808084629117705,Rewrite a living worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
3,0.5785411254629069,Rewrite the hari thouet..,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
3,0.5762238694108415,Rewrite an spe worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
4,0.5911481107812382,Rewrite the hari thouet exudings.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
4,0.5909932754622471,Rewrite a an eminence worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
4,0.5894633096732165,Rewrite a r living worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
4,0.5890204171898032,Rewrite a convey worded,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
4,0.5883007271025821,Rewrite the hari thouet perse.,"(0.6038506073679645, 0.6973814228146713, 0.009352891244277517)"
