,rewrite_prompt,Topic,Name,Representation,Representative_Docs,Top_n_words,Representative_document
4,this content into a somber wartime report.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
10,this text into a poignant worldview narrative piece.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
18,this topic to include the burning temple and information regarding the concept of multiple lives.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
20,"the preserved themes from 1895 by infusing them with an air of mystery and enchantment, ensuring their safekeeping amidst the tides of time.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
30,enhance the setting by emphasizing the castle and center the story around the mother.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
64,the perspective of an early explorer's observations on society.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
65,this passage as a letter to effectively highlight the exceptional works found in the rich collection of the Project Gutenberg Literary Archive.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
66,"this passage as if the newly crowned king carefully selected his words, seemingly inspired by the sights of Banchory-Ternan in his reflection on life.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
70,this passage into a reverberating piece of text worthy of a British warrior.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
74,"on a short story by incorporating various perspectives and interests of different individuals involved in the narrative, such as stakeholders.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
92,the story into a virtual quest about the moon.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
100,the text in a vivid and evocative way.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
106,this piece of investigative journalism to shed light on the human experience.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
114,the passage about coping with grief to reflect the ideals of a respected philosopher in the form of a policy declaration.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
121,the Tigers' story.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
123,this text into a luxurious brand story with a childlike perspective.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
134,this as a guide for improving news broadcasts with a touch of superheroes and sophistication.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
143,"this passage to reflect the perspective and mood of anger.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
153,this text as a poignant war correspondent's report.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
169,a mystery to emphasize the innermost aspects.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
181,this to a narrative while maintaining the message.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
191,a story for children by adding more vivid descriptions and details to bring the characters and setting to life.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
205,the text into a gripping and engaging story.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
207,this text as a farewell note from a renowned thinker.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
208,"the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,True
213,it to a captivating recommendation.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
221,the story with shattering violence to include moral implications set in 19th-century England.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
236,this paragraph as if it were an offer during times of strategic warfare.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
245,modernize this essay describing how the protagonist is not surprised by the prison convict's closure impacting them emotionally.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
259,this into the style of an epic Viking saga.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
270,this story about boundaries.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
321,the story so that visitors can understand it.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
324,Salome's face in the piece to emphasize the significance it holds for the character before describing the transformation he undergoes with more vivid details.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
326,this as if a woman is discovering her true strength among a crowd of bystanders.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
342,this document into a historical narrative.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
348,"the phrase ""a great soul was a"" into ""a great soul and a"" and analyze the text sequentially, focusing on details, at a 149-year-old grammar school on an old bridge.",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
354,the text into a heartfelt tribute to Kwantung Waters.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
357,"this text: ""A character's journey from humble beginnings to achieving greatness involves facing challenges and discovering their true potential.""",6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
358,the story to extract lessons from it.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
380,the story about Nancy's determination to inspire others through a sports story involving chairs.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
382,the text from the perspective of the winner talking about his successful journey to the West Coast.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
394,this quickly to provide a vivid backstory on their deep dedication.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
407,this into nonfiction along national lines.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
416,the script for the story about the adventurous journey with abundant flax and a tired conclusion.,6,6_story_journey_text_emphasize,"['story', 'journey', 'text', 'emphasize', 'vivid', 'narrative', 'passage', 'report', 'perspective', 'essay']","[""the text into a story with proud dignity, focusing on a character's memories and transformation through a long journey."", 'the text into a vivid and engaging story featuring a debate between humanity and the picturesque setting, focusing on the circle at his feet which troubled him.', ""this passage to emphasize the importance of revisiting the core of the master's story and loyalty to their journey.""]",story - journey - text - emphasize - vivid - narrative - passage - report - perspective - essay,False
